code,title,description,prereqs,credits,prereq_type,area
BMGT321 , Managerial Accounting ," A study of the basic concepts of product costing and cost analysis for management planning and control. Emphasis is placed on the role of the accountant in organizational management, analysis of cost behavior, standard cost budgeting, responsibility accounting and relevant costs for decision-making. ", BMGT221. ,3,Hard,BMGT
BMGT323 , Taxation of Individuals ," Federal taxation of individuals focusing on income, exclusions, deductions, depreciation, credits and capital transactions. Property coverage includes the tax consequences of sales and dispositions of investment and business assets. Both tax planning and compliance issues are covered. ", BMGT221. ,3,Hard,BMGT
BMGT326 , Accounting Systems , A study of accounting systems and computer and communications technology. , BMGT221; and (BMGT201 or BMGT301). ,3,Flexible,BMGT
BMGT332 , Quantitative Models for Management Decisions ," The aim of this course is to introduce management science techniques for informed decision-making that can be applied in spreadsheet models to assist in the decision-analysis process. Models include Linear Programming, Transportation and Assignment problems, network flow models, Integer and non-linear programming, Simulation and Decision Trees. ", BMGT231 or BMGT230; or students who have taken courses with comparable content may contact the department. ,3,Flexible,BMGT
BMGT343 , Investments ," An introduction to financial investments. Topics include: securities and securities markets; investment risks, returns and constraints; portfolio policies; and institutional investment policies. ", BMGT340.   ,3,Hard,BMGT
BMGT345 , Foundations of Financial Management for Non Business Majors ," Provides students an overview of financial management.  Students will understand how a business allocates financial resources in an uncertain environment to maximize shareholder value.  In addition students will learn the following: how to apply accounting principles to corporate finance; how to value assets, projects, companies and investment securities; understand the relationship between risk and return and how it impacts investment and corporate decisions; how to calculate a company's cost of capital, and develop an intuitive comprehension of financial concepts and analysis. ", BMGT210 or BMGT220.   ,3,Flexible,BMGT
BMGT362 , Negotiations ," By using a variety of assessment tools, feedback sources, skill-building exercises, and exercise debriefings, this experiential course is designed to enhance students' negotiating self-confidence and improve students' analytical skills, interpersonal skills, creativity and persuasive abilities. ", None ,3,None,BMGT
BMGT365 , Entrepreneurial Finance and Private Equity ," Studies venture capital and private equity using a combination of cases, lectures and guest speakers. Addresses how venture capitalists provide capital to start-up firms in growing industries and how private equity markets provide capital to help established medium-sized firms (often family businesses) grow and restructure. Focuses on how financial, legal, and economic issues are dealt with in the financial contracts between venture capitalists and their limited partners and between capitalists (or other private equity investors) and the firms in which they invest. ", BMGT461 or BMGT361.  ,3,Flexible,BMGT
BMGT366 , Growth Strategies for Emerging Companies ," Offers practical management tools that are needed to build a new venture into a significant enterprise. The competencies, strategies and structures of successful high performance businesses are studied through cases, videos and guest lecturers. Topics include leadership, internal growth strategies, merger, acquisition and franchising. ", BMGT461 or BMGT361.   ,3,Flexible,BMGT
BMGT382 , Marketing and Innovation for Entrepreneurs ," Marketing and Innovation are two critically important activities that determine success in any business venture. This course will focus on understanding the fundamentals of marketing and innovation from the perspective of an entrepreneur. At a broad level, we will apply proven marketing frameworks (STP and 4Ps) to effectively deliver innovation in an entrepreneurial context. ", None ,3,None,BMGT
BMGT385 , Operations Management ," Studies the design, management and improvement of a firm's processes and systems for creation and delivery of products and services. Includes strategic and operational views of supply chain, product development, and capacity analysis, highlighting the competitive advantages that operations management can provide the firm. ", None ,3,None,BMGT
BMGT392 , Introduction to International Business Management ," A study of the domestic and foreign environmental factors affecting the international operations of U.S. business firms. The course also covers the administrative aspects of international marketing, finance and management. ", ECON200. ,3,Hard,BMGT
BMGT397 , Mentoring Multidisciplinary Teams ," QUEST students practice essential skills for mentoring and coaching multidisciplinary teams. These include effective communications, facilitation, conflict resolution, and the ability to motivate. Students will practice these skills as mentors for student teams from BMGT/ENES 190H. In the process, they will strengthen their knowledge of design and quality techniques. ", None ,3,None,BMGT
BMGT403 , Systems Analysis and Design ," Techniques and tools applicable to the analysis and design of computer-based information systems. System life cycle, requirements analysis, logical design of databases and performance evaluation. Emphasis on case studies. Project required that involves the design, analysis and implementation of an information system. ", BMGT301; or students who have taken courses with comparable content may contact the department.   ,3,Flexible,BMGT
BMGT404 , Essential Data Skills for Business Analytics ," Understand the principles of data science and business analytics to collect, analyze and visualize business data. Students will learn the use of industry standard software with applications in finance, accounting, marketing and operations. ", BMGT301. ,3,Hard,BMGT
BMGT407 , Information Systems Projects , Senior capstone course for the decision and information sciences major. Collected knowledge from the DIS courses and application to significant problems of size and complexity. State-of-the-art research ideas and current business and industrial practices in information systems. , BMGT402 and BMGT403.   ,3,Hard,BMGT
BMGT410 , Government Accounting ," An introduction to the theory and practice of accounting and financial reporting as applied in both federal and state/local governments, with a focus on generally accepted accounting principles applicable in each. Topics include analyzing transactions; recognizing transactions in the accounting cycles; and preparing and analyzing financial statements and the overall financial reports at both the federal and state/local government levels. ", BMGT221. ,3,Hard,BMGT
BMGT411 , Ethics and Professionalism in Accounting , Analysis and discussion of issues relating to ethics and professionalism in accounting. , BMGT311.   ,3,Hard,BMGT
BMGT417 ," Taxation of Corporations, Partnerships and Estates "," Federal taxation of corporations using the life-cycle approach-formation, operation, assessment, merger, reorganization and liquidation. Overviews of pass-through entities - partnerships and s-corporations -using the life-cycle approach, and the tax consequences of wealth transfers by individuals - gift and estate taxation. Both tax planning and compliance issues are addressed. ", BMGT221. ,3,Hard,BMGT
BMGT422 , Auditing Theory and Practice ," A study of the independent accountant's attest function, generally accepted auditing standards, compliance and substantive tests and report forms and opinions. ", BMGT310; and must have completed or be concurrently enrolled in BMGT311. ,3,Flexible,BMGT
BMGT424 , Advanced Accounting , Advanced accounting theory applied to specialized topics and current problems. Emphasis on consolidated statements and partnership accounting. , BMGT311. ,3,Hard,BMGT
BMGT430 , Data Modeling in Business ," Explores the role of statistical models in business analytics to drive managerial decision-making and improve performance through the use of relevant data-motivated examples.  Topics include regression models (both simple and multiple regression, as well as logistic regression for binary data), model validation, variable transformation, variable selection, discriminant analysis, and forecasting.  These topics are modeled using state-of-the-art data analytics software. ", BMGT231 or BMGT230; or permission of BMGT-Robert H. Smith School of Business. ,3,Flexible,BMGT
BMGT431 , Data Analytics ," An introduction to the tools and techniques that are central to the analysis of abundant data that is being collected in many forms including web traffic, social network data, and reviews and comments on websites. ", BMGT430. ,3,Hard,BMGT
BMGT434 , Analytics Consulting: Cases and Projects ," This course assumes that students have already been introduced to the concepts and techniques of operations research/business analytics (OR/BA). Published papers, short cases, and projects in OR/BA will be analyzed and discussed in a thoughtful way, taking into account the soft (people-related) issues and the hard (mathematical/optimization) issues. ", BMGT332; and (MATH120 or MATH140; or must have completed MATH220). Or students who have taken courses with comparable content may contact the department.   ,3,Flexible,BMGT
BMGT435 , Business Process Simulation ," Develop and plan simulation studies, build simulation models with special purpose software, analyze and interpret the results. Extensive use of applications and real-world examples. The emphasis is on model formulation and the interpretation of results, rather than mathematical theory. ", BMGT231 or BMGT230; or students who have taken courses with comparable content may contact the department.   ,3,Flexible,BMGT
BMGT441 , Fixed Income , Describes important financial instruments which have market values that are sensitive to interest rate movements. Develops tools to analyze interest rate sensitivity and value fixed income securities. Defines and explains the vocabulary of the bond management business. , BMGT340.   ,3,Hard,BMGT
BMGT442F , Advanced Portfolio Management , An in-depth coverage of statistical methods for choosing stocks is provided. Financial markets data is used in the class.  Students are also expected to learn and use Matlab during the class to implement the concepts of the class. , BMGT343.   ,3,Hard,BMGT
BMGT443 , Applied Equity Analysis and Portfolio Management ," Study and application of the concepts, methods, models, and empirical findings to the analysis, valuation and selection of securities, especially common stock. ", BMGT343. ,3,Hard,BMGT
BMGT444 , Futures and Options Contracts ," The institutional features and economic rationale underlying markets in futures and options. Hedging, speculation, structure of futures prices, interest rate futures, efficiency in futures markets and stock and commodity options. ", BMGT343.   ,3,Hard,BMGT
BMGT445 , Banking and Financial Institutions ," Analysis and discussion of cases and readings in commercial bank management. The loan function is emphasized; also the management of liquidity reserves, investments for income and source of funds. Bank objectives, functions, policies, organization, structure, services and regulation are considered. ", BMGT340.   ,3,Hard,BMGT
BMGT446 , International Finance ," Financial management from the perspective of the multinational corporation. Topics covered include the organization and functions of foreign exchange and international capital markets, international capital budgeting, financing foreign trade and designing a global financing strategy. Emphasis of the course is on how to manage exchange and political risks while maximizing benefits from global opportunity sets faced by the firm. ", BMGT340. ,3,Hard,BMGT
BMGT450 , Integrated Marketing Communications ," In-depth study of coordinated marketing activities including advertising, sales promotion, Internet marketing, direct marketing and personal selling. Emphasizes strategic planning to effectively use these  promotional tools to communicate with customers and meet marketing goals. Blends theory and current practice to provide managerial orientation. ", BMGT350.   ,3,Hard,BMGT
BMGT451 , Consumer Analysis ," Identifying buyer behavior concepts relevant to a specific marketing problem so that appropriate marketing decisions can be made. Conceptual frameworks are drawn from psychology, sociology, economics, and other social sciences to aid in understanding the behavior of ultimate and industrial buyers. ", BMGT350.   ,3,Hard,BMGT
BMGT452 , Marketing Research Methods ," Focuses on aiding marketing decision-making through exploratory, descriptive and casual research. Develops student skills in designing market research studies, including selection of data collection method, development of data collection instrument, sample design, collection and statistical analysis of data and reporting the results. ", BMGT350 and BMGT230. ,3,Hard,BMGT
BMGT454 , Global Marketing ," Marketing functions from the global executive's viewpoint, including coverage of global marketing policies relating to product adaptation, data collection and analysis, channels of distribution, pricing, communications and cost analysis. Consideration is given to the cultural, legal, financial and organizational aspects of global marketing. ", BMGT350. ,3,Hard,BMGT
BMGT455 , Sales Management ," The roles of the sales executive as a planner, manager of resources and marketing functions and recruiter, trainer, motivator and leader of field sales personnel. Techniques and sequence of problem analysis for selling and sales management decisions and to the practical framework in which these decisions take place. Teaching vehicles feature strong classroom interactions, cases, journal articles, research findings, guest sales managers, debates, and modern company practices. ", BMGT350. ,3,Hard,BMGT
BMGT457 , Marketing Policies and Strategies , This capstone course ties together various marketing concepts using the fundamentals of strategic market planning as the framework. Application of these principles is accomplished by analyzing and discussing cases and by playing a marketing strategy computer simulation game. Analysis of current business articles to understand the link between theory and real-world problem solving. , BMGT350. ,3,Hard,BMGT
BMGT463 , Cross-cultural Challenges in Business , Examines in depth the nature of international cultural value-differences and their behavioral-related effects in the workplace. Topics include decision-making and leadership styles and reactions to various work assignments and reward structures. , None ,3,None,BMGT
BMGT466 , Global Business Strategy ," Focuses on the strategic challenges that directly result from and are associated with the globalization of industries and companies. Topics include drivers of industry globalization, difference between global and multi-domestic industry, global expansion strategies, sources of competitive advantage in a global context, and coordination of a company across a global network. ", None ,3,None,BMGT
BMGT467 , Strategic Innovation and Entrepreneurship ," Provides an understanding of how innovation affects the competitive dynamics of markets, how firms can strategically manage innovation, and how firms can create and implement strategies to maximize their likelihood of success. ", None ,3,None,BMGT
BMGT472 , Purchasing and Inbound Logistics ," Analysis of the resupply activities of logistics management, including purchasing policies, transportation planning, and inventory control. Attention is directed toward total cost minimization and the establishment of a sustainable competitive advantage based on procurement. ", BMGT372. ,3,Hard,BMGT
BMGT476 , Technology Applications in Supply Chain Management , An understanding of the role of technology in managing the supply chain. Provides students with hands-on experience in advanced software systems that build on top of enterprise resource planning systems. Major emphasis is placed on demonstrating that these systems result in supply chain cost reductions and service improvements. , BMGT372. ,3,Hard,BMGT
BMGT484 , Digital Marketing ," Examines the process of developing, implementing, and analyzing strategies for successfully marketing a variety of existing and potential products and services through digital means, including the web, social media, and mobile apps. Both the development and analysis of digital media for marketing will be discussed. ", BMGT350.   ,3,Hard,BMGT
BMGT485 , Project Management ," Modern project management techniques that are used by modern practicing professionals will be covered. Particular attention is given to the management of technology based systems and projects in a business enterprise. The topics covered include: defining project scope, alignment of projects with enterprise strategy, managing project cost, time and risks using tools such as CPM/PERT, and measuring project performance. ", BMGT231 or BMGT230; or students who have taken courses with comparable content may contact the department.   ,3,Flexible,BMGT
BMGT490H , QUEST Capstone Professional Practicum ," The capstone course for the QUEST Honors Program provides students with an opportunity to learn in multidisciplinary teams of business, engineering, and science students in a real-world setting. Companies engage teams of QUEST students with real organizational challenges and dedicate resources to help students address these problems. Student teams must enhance their skills in quality management, process improvement, and systems design and will apply these to add value to a client. In the process, students will improve their teamwork skills. ", ENES390 or BMGT390.   ,4,Flexible,BMGT
BMGT491 , Scoping Experiential Learning Projects ," QUEST students cultivate relationships with new and current corporate partners and prepare project scopes for QUEST's introductory course, BMGT/ENES 190H, and capstone course, BMGT/ENES 490H. Requires independent work communicating with clients and class visits to a variety of potential project sites. ", BMGT190 or ENES190.   ,3,Flexible,BMGT
BMGT494H , Honors Study ," Second semester of the senior year. The student shall continue and complete the research initiated in BMGT 493, additional reports may be required at the discretion of the faculty advisor and Assistant Dean of Undergraduate Studies. ", BMGT493.   ,3,Hard,BMGT
BMGT841 , Seminar in Corporate Finance , Seminar in selected classic and current theoretical and empirical research in corporate finance. , Permission of BMGT-Robert H. Smith School of Business. ,3,Hard,BMGT
CMSC122 , Introduction to Computer Programming via the Web , Introduction to computer programming in the context of developing full featured dynamic web sites. Uses a problem solving approach to teach basics of program design and implementation using JavaScript; relates these skills to creation of dynamic web sites; then explores both the potential and limits of web-based information sources for use in research. Intended to help relate a student's major to these emerging technologies. , None ,3,None,CMSC
CMSC131 , Object-Oriented Programming I , Introduction to programming and computer science. Emphasizes understanding and implementation of applications using object-oriented techniques. Develops skills such as program design and testing as well as implementation of programs using a graphical IDE. Programming done in Java. , None ,4,None,CMSC
CMSC132 , Object-Oriented Programming II ," Introduction to use of computers to solve problems using software engineering principles. Design, build, test, and debug medium -size software systems and learn to use relevant tools. Use object-oriented methods to create effective and efficient problem solutions. Use and implement application programming interfaces (APIs). Programming done in Java. ", Minimum grade of C- in CMSC131; or must have earned a score of 5 on the A Java AP exam; or must have earned a satisfactory score on the departmental placement exam. And minimum grade of C- in MATH140. ,4,Flexible,CMSC
CMSC133 , Object Oriented Programming I Beyond Fundamentals ," An introduction to computer science and object-oriented programming for students with prior Java programming knowledge (conditionals, loops, methods). Program design, implementation, and testing using object-oriented techniques. All programming will be done in Java using a graphical IDE. ", None ,2,None,CMSC
CMSC216 , Introduction to Computer Systems ," Introduction to the interaction between user programs and the operating system/hardware. Major topics include C programming, introductory systems programming, and assembly language. Other concepts covered include UNIX, machine data representation, thread management, optimization, and virtual memory. Programming is done in the Linux Environment. ", Minimum grade of C- in CMSC132; and minimum grade of C- in MATH141.  ,4,Hard,CMSC
CMSC250 , Discrete Structures ," Fundamental mathematical concepts related to computer science, including finite and infinite sets, relations, functions, and propositional logic. Introduction to other techniques, modeling and solving problems in computer science.  Introduction to permutations, combinations, graphs, and trees with selected applications. ", Minimum grade of C- in CMSC131; and minimum grade of C- in MATH141.   ,4,Hard,CMSC
CMSC320 , Introduction to Data Science ," An introduction to the data science pipeline, i.e., the end-to-end process of going from unstructured, messy data to knowledge and actionable insights. Provides a broad overview of several topics including statistical data analysis, basic data mining and machine learning algorithms, large-scale data management, cloud computing, and information visualization. ", Minimum grade of C- in CMSC216 and CMSC250.  ,3,Hard,CMSC
CMSC330 , Organization of Programming Languages ," A study of programming languages, including their syntax, semantics, and implementation. Several different models of languages are discussed, including dynamic, scripting (e.g., Ruby, Python) functional (e.g., OCaml, Haskell, Scheme), and memory safe systems programming (e.g., Rust). Explores language features such as formal syntax, scoping and binding of variables, higher-order programming, typing, and type polymorphism. Introduces finite automata, context free grammar, parsing, lambda calculus, and basics of security attacks and software security. ", Minimum grade of C- in CMSC250 and CMSC216.   ,3,Hard,CMSC
CMSC351 , Algorithms ," A systematic study of the complexity of some elementary algorithms related to sorting, graphs and trees, and combinatorics. Algorithms are analyzed using mathematical techniques to solve recurrences and summations. ", Minimum grade of C- in CMSC250 and CMSC216.   ,3,Hard,CMSC
CMSC396H , Computer Science Honors Seminar ," Overview of computer science research activities, techniques, and tools. Diverse research areas will be covered, including systems, networks, artificial intelligence, human-computer interaction, software engineering, graphics, vision, and theory. ", Must have admission into Computer Science Departmental Honors Program.   ,1,Flexible,CMSC
CMSC411 , Computer Systems Architecture ," Input/output processors and techniques. Intra-system communication, buses, caches. Addressing and memory hierarchies. Microprogramming, parallelism, and pipelining. "," Minimum grade of C- in CMSC330; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.  ",3,Flexible,CMSC
CMSC412 , Operating Systems ," A hands-on introduction to operating systems, including topics in: multiprogramming, communication and synchronization, memory management, IO subsystems, and resource scheduling polices. The laboratory component consists of constructing a small kernel, including functions for device IO, multi-tasking, and memory management. "," Minimum grade of C- in CMSC330 and CMSC351; and 1 course with a minimum grade of C- from (CMSC414, CMSC417, CMSC420, CMSC430, CMSC433, CMSC435, ENEE440, ENEE457).   ",4,Hard,CMSC
CMSC414 , Computer and Network Security ," An introduction to the topic of security in the context of computer systems and networks. Identify, analyze, and solve network-related security problems in computer systems. Fundamentals of number theory, authentication, and encryption technologies, as well as the practical problems that have to be solved in order to make those technologies workable in a networked environment, particularly in the wide-area Internet environment. "," Minimum grade of C- in CMSC330 and CMSC351; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.   ",3,Flexible,CMSC
CMSC417 , Computer Networks ," Computer networks and architectures. The OSI model including discussion and examples of various network layers. A general introduction to existing network protocols. Communication protocol specification, analysis, and testing. "," Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC420 , Advanced Data Structures ," Description, properties, and storage allocation functions of data structures including balanced binary trees, B-Trees, hash tables, skiplists, tries, KD-Trees and Quadtrees. Algorithms for manipulating structures. Applications from areas such as String Processing, Computer Graphics, Information Retrieval, Computer Networks, Computer Vision, and Operating Systems. "," Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC421 , Introduction to Artificial Intelligence ," Introduces a range of ideas and methods in AI, varying semester to semester but chosen largely from: automated heuristic search, planning, games, knowledge representation, logical and statistical inference, learning, natural language processing, vision, robotics, cognitive modeling, and intelligent agents. Programming projects will help students obtain a hands-on feel for various topics. "," Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC422 , Introduction to Machine Learning , Machine Learning studies representations and algorithms that allow machines to improve their performance on a task from experience. This is a broad overview of existing methods for machine learning and an introduction to adaptive systems in general. Emphasis is given to practical aspects of machine learning and data mining. ," Minimum grade of C- in CMSC320, CMSC330, and CMSC351; and 1 course with a minimum grade of C- from (MATH240, MATH461); and permission of CMNS-Computer Science department. ",3,Hard,CMSC
CMSC423 ," Bioinformatic Algorithms, Databases, and Tools "," An introduction to the main algorithms, databases, and tools used in bioinformatics. Topics may include assembly and analysis of genome sequences, reconstructing evolutionary histories, predicting protein structure, and clustering of biological data. Use of scripting languages to perform analysis tasks on biological data. No prior knowledge of biology is assumed. "," Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC424 , Database Design ," Students are introduced to database systems and motivates the database approach as a mechanism for modeling the real world. An in-depth coverage of the relational model, logical database design, query languages, and other database concepts including query optimization, concurrency control; transaction management, and log based crash recovery. Distributed and Web database architectures are also discussed. "," Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC425 , Game Programming ," An introduction to the principles and practice of computer game programming and design. This includes an introduction to game hardware and systems, the principles of game design, object and terrain modeling, game physics, artificial intelligence for games, networking for games, rendering and animation, and aural rendering. Course topics are reinforced through the design and implementation of a working computer game. ", Minimum grade of C- in CMSC420. ,3,Hard,CMSC
CMSC426 , Computer Vision ," An introduction to basic concepts and techniques in computervision. This includes low-level operations such as image filtering and edge detection, 3D reconstruction of scenes using stereo and structure from motion, and object detection, recognition and classification. "," Minimum grade of C- in CMSC330 and CMSC351; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.   ",3,Flexible,CMSC
CMSC430 , Introduction to Compilers ," Topics include lexical analysis, parsing, intermediate representations, program analysis, optimization, and code generation. "," Minimum grade of C- in CMSC330 and CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC433 , Programming Language Technologies and Paradigms ," Programming language technologies (e.g., object-oriented programming), their implementations and use in software design and implementation. "," Minimum grade of C- in CMSC330; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.  ",3,Flexible,CMSC
CMSC434 , Introduction to Human-Computer Interaction ," Assess usability by quantitative and qualitative methods. Conduct task analyses, usability tests, expert reviews, and continuing assessments of working products by interviews, surveys, and logging. Apply design processes and guidelines to develop professional quality user interfaces. Build low-fidelity paper mockups, and a high-fidelity prototype using contemporary tools such as graphic editors and a graphical programming environment (eg: Visual Basic, Java). "," Minimum grade of C- in CMSC330 and CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC435 , Software Engineering ," State-of-the-art techniques in software design and development. Laboratory experience in applying the techniques covered. Structured design, structured programming, top-down design and development, segmentation and modularization techniques, iterative enhancement, design and code inspection techniques, correctness, and chief-programmer teams. The development of a large software project. "," 1 course with a minimum grade of C- from (CMSC412, CMSC417, CMSC420, CMSC430, CMSC433); and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC436 , Programming Handheld Systems ," Fundamental principles and concepts that underlie the programming of handheld systems, such as mobile phones, personal digital assistants, and tablet computers. Particular emphasis will be placed on concepts such as limited display size, power, memory and CPU speed; and new input modalities, where handheld systems differ substantially from non-handheld systems, and thus require special programming tools and approaches. Students will apply these concepts and principles in the context of an existing handset programming platform. "," Minimum grade of C- in CMSC330 and CMSC351; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program.   ",3,Flexible,CMSC
CMSC451 , Design and Analysis of Computer Algorithms ," Fundamental techniques for designing efficient computer algorithms, proving their correctness, and analyzing their complexity. General topics include graph algorithms, basic algorithm design paradigms (such as greedy algorithms, divide-and-conquer, and dynamic programming), network flows, NP-completeness, and other selected topics in algorithms. "," Minimum grade of C- in CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC452 , Elementary Theory of Computation ," Techniques are developed to determine the difficulty of a problem relative to a model of computation. Topics include Finite Automata, P, NP, decidability, undecidability, and communication complexity. "," Minimum grade of C- in CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program. ",3,Flexible,CMSC
CMSC454 , Algorithms for Data Science ," Fundamental methods for processing a high volume of data. Methods include stream processing, locally sensitive hashing, web search methods, page rank computation, network and link analysis, dynamic graph algorithms as well as methods to handle high dimensional data/dimensionality reduction. "," Minimum grade of C- in CMSC320, CMSC330, and CMSC351; and 1 course with a minimum grade of C- from (STAT400, STAT410); and permission of CMNS-Computer Science department.  ",3,Hard,CMSC
CMSC456 , Cryptography ," The theory, application, and implementation of mathematical techniques used to secure modern communications. Topics include symmetric and public-key encryption, message integrity, hash functions, block-cipher design and analysis, number theory, and digital signatures. "," (CMSC106, CMSC131, or ENEE150; or equivalent programming experience); and (2 courses from (CMSC330, CMSC351, ENEE324, or ENEE380); or any one of these courses and a 400-level MATH course, or two 400-level MATH courses). Or permission of instructor.   ",3,Flexible,CMSC
CMSC457 , Introduction to Quantum Computing ," An introduction to the concept of a quantum computer, including algorithms that outperform classical computation and methods for performing quantum computation reliably in the presence of noise. As this is a multidisciplinary subject, the course will cover basic concepts in theoretical computer science and physics in addition to introducing core quantum computing topics. "," 1 course with a minimum grade of C- from (MATH240, PHYS274); and 1 course with a minimum grade of C- from (CMSC351, PHYS373).   ",3,Hard,CMSC
CMSC460 , Computational Methods ," Basic computational methods for interpolation, least squares, approximation, numerical quadrature, numerical solution of polynomial and transcendental equations, systems of linear equations and initial value problems for ordinary differential equations. Emphasis on methods and their computational properties rather than their analytic aspects. Intended primarily for students in the physical and engineering sciences. "," 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH246.   ",3,Hard,CMSC
CMSC466 , Introduction to Numerical Analysis I ," Floating point computations, direct methods for linear systems, interpolation, solution of nonlinear equations. "," 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH410.   ",3,Hard,CMSC
